ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
SU,SU,USA,--,--,68.29,USD,70.29,2.8,80633.1,4780.5,52.6,54.34,OVERBOUGHT,Turning Up,,52377.0,0.89,2026-05-17T10:33:39.063912
MO,MO,USA,--,--,73.09,USD,74.56,2.0,122052.3,9447.3,47.11,42.93,OVERBOUGHT,BUY,,20139.0,0.53,2026-05-17T10:33:39.114239
WTTR,WTTR,USA,--,--,18.96,USD,19.04,0.4,2357.8,2043.6,69.39,66.29,OVERBOUGHT,BUY,,1407.3,1.42,2026-05-17T10:33:39.164680
FCX,FCX,USA,--,--,63.01,USD,70.97,11.2,90580.6,17172.0,9.56,11.37,Bullish,Turning Up,,25915.0,1.05,2026-05-17T10:33:39.204116
COST,COST,USA,--,--,1048.95,USD,1067.08,1.7,465369.3,1814.9,46.93,40.37,OVERBOUGHT,BUY,,275235.0,0.55,2026-05-17T10:33:39.246173
BRK-B,BRK-B,USA,--,--,482.7,USD,516.85,6.6,1041113.4,4783.9,-38.86,-46.22,Bearish,Strong BUY,,410522.0,,2026-05-17T10:33:39.256070
PGR,PGR,USA,--,--,199.73,USD,289.96,31.1,116709.5,2863.7,-42.54,-42.7,OVERSOLD,Strong BUY,,87637.0,,2026-05-17T10:33:39.431103
CGEM,CGEM,USA,--,--,15.73,USD,16.74,6.0,966.7,854.5,4.46,-0.59,Bullish,BUY,,0.0,10.25,2026-05-17T10:33:39.577856
EL,EL,USA,--,--,80.28,USD,121.64,34.0,29044.9,4452.4,-36.74,-47.46,Bearish,Strong BUY,,14326.0,0.92,2026-05-17T10:33:39.586269
KRP,KRP,USA,--,--,15.44,USD,15.65,1.3,1523.2,838.6,47.87,49.6,OVERBOUGHT,Turning Up,,321.7,8.64,2026-05-17T10:33:39.593250
PAGP,PAGP,USA,--,--,24.56,USD,24.76,0.8,4860.5,1927.1,37.01,36.11,Bullish,BUY,,44262.0,0.92,2026-05-17T10:33:39.645856
CVE,CVE,USA,--,--,30.82,USD,30.85,0.1,57473.7,12965.6,71.57,68.01,OVERBOUGHT,BUY,,52751.0,1.04,2026-05-17T10:33:39.724778
SIBN,SIBN,USA,--,--,14.16,USD,21.89,35.3,628.0,729.8,-34.04,-45.47,Bearish,Strong BUY,,200.9,7.21,2026-05-17T10:33:39.800128
HSY,HSY,USA,--,--,186.98,USD,239.48,21.9,37927.7,1907.4,-74.88,-69.34,OVERSOLD,Turning Up,,11692.6,0.77,2026-05-17T10:33:39.865509
NEXT,NEXT,USA,--,--,9.12,USD,12.12,24.8,2416.7,4720.2,40.51,32.54,OVERBOUGHT,BUY,,0.0,0.54,2026-05-17T10:33:39.913068
NUAI,NUAI,USA,--,--,4.88,USD,9.44,48.3,484.8,4874.6,-29.87,-39.64,Bearish,Strong BUY,,0.9,1.57,2026-05-17T10:33:40.503434
EE,EE,USA,--,--,35.71,USD,43.17,17.3,1136.9,484.9,-39.54,-47.57,Bearish,Strong BUY,,1228.3,2.34,2026-05-17T10:33:40.871768
IAUX,IAUX,USA,--,--,1.48,USD,2.24,33.9,1275.8,16975.3,-26.34,-26.65,Bearish,BUY,,95.2,0.51,2026-05-17T10:33:41.097086
SEDG,SEDG,USA,--,--,61.76,USD,63.53,2.8,3756.1,4054.3,30.64,21.35,Bullish,BUY,,1184.4,1.48,2026-05-17T10:33:41.680601
NMAX,NMAX,USA,--,--,7.2,USD,27.49,73.8,930.0,1551.5,-46.87,-45.18,OVERSOLD,Turning Up,,189.3,2.38,2026-05-17T10:33:41.716696
PUMP,PUMP,USA,--,--,17.45,USD,18.5,5.7,2139.7,3717.8,51.13,52.81,OVERBOUGHT,Turning Up,,1269.2,1.24,2026-05-17T10:33:41.869578
TKO,TKO,USA,--,--,190.07,USD,226.94,16.2,14249.1,1378.5,-63.04,-62.98,OVERSOLD,Turning Up,,4735.2,1.23,2026-05-17T10:33:41.946543
RSG,RSG,USA,--,--,208.32,USD,258.75,19.5,64092.6,1574.1,-63.02,-60.99,OVERSOLD,Turning Up,,16591.0,0.62,2026-05-17T10:33:41.950158
BJ,BJ,USA,--,--,96.36,USD,120.08,19.8,12304.4,1887.1,-29.86,-32.95,Bearish,Strong BUY,,21457.3,0.16,2026-05-17T10:33:42.088679
IPI,IPI,USA,--,--,41.85,USD,50.34,16.9,562.2,359.1,-29.5,-26.74,Bearish,Turning Up,,298.3,2.29,2026-05-17T10:33:42.097052
MTA,MTA,USA,--,--,6.81,USD,9.25,26.4,636.3,492.6,-39.3,-41.66,Bearish,Strong BUY,,5.9,0.93,2026-05-17T10:33:42.109516
CHKP,Check Point Software Technologi,USA,--,--,124.03,USD,233.78,46.9,12902.6,1488.7,-79.19,-81.84,OVERSOLD,Strong BUY,,2725.4,2.05,2026-05-17T10:33:42.229094
MMM,3M Company,USA,United States,Industrials,146.22,USD,177.41,17.6,76263.6,3892.3,-55.05,-55.8,OVERSOLD,Strong BUY,5.19,24948.0,1.33,2026-05-17T10:33:42.859966
SPIR,"Spire Global, Inc.",USA,United States,Industrials,20.01,USD,23.59,15.2,774.6,1501.8,37.73,38.42,Bullish,Turning Up,1.59,71.6,1.3,2026-05-17T10:33:42.966146
CNCK,Coincheck Group N.V.,USA,Netherlands,Financial Services,2.03,USD,9.31,78.2,275.9,1015.8,-32.57,-43.53,Bearish,Strong BUY,-0.09,383330.0,1.07,2026-05-17T10:33:43.207947
NVS,Novartis AG,USA,Switzerland,Healthcare,148.08,USD,170.46,13.1,282550.3,1959.8,-49.48,-45.46,OVERSOLD,Turning Up,6.97,56674.0,0.89,2026-05-17T10:33:43.643357
THC,Tenet Healthcare Corporation,USA,United States,Healthcare,196.66,USD,247.21,20.4,16939.7,1245.7,-48.14,-52.45,OVERSOLD,Strong BUY,19.23,21310.0,1.68,2026-05-17T10:33:43.706266
PDYN,Palladyne AI Corp.,USA,United States,Technology,6.45,USD,13.0,50.4,304.7,2402.1,-49.21,-50.28,OVERSOLD,Strong BUY,-0.59,5.2,9.22,2026-05-17T10:33:43.784404
JHG,Janus Henderson Group plc,USA,United Kingdom,Financial Services,51.72,USD,53.76,3.8,7968.8,3195.4,19.86,18.17,Bullish,BUY,5.05,3097.3,4.18,2026-05-17T10:33:43.923204
WIT,Wipro Limited,USA,India,Technology,1.89,USD,3.13,39.6,19816.9,13330.8,-81.56,-79.57,OVERSOLD,Turning Up,0.13,890884.0,2.71,2026-05-17T10:33:43.994770
RPD,"Rapid7, Inc.",USA,United States,Technology,6.5,USD,25.85,74.9,434.4,2177.2,-16.33,-37.54,Bearish,Strong BUY,0.35,859.8,1.28,2026-05-17T10:33:44.170580
CNH,CNH Industrial N.V.,USA,United Kingdom,Industrials,10.43,USD,14.27,26.9,12932.7,16300.5,-42.18,-43.88,OVERSOLD,Strong BUY,0.32,18095.0,1.9,2026-05-17T10:33:44.267325
SDRL,Seadrill Limited,USA,United States,Energy,52.7,USD,52.87,0.3,3295.4,763.0,74.73,70.41,OVERBOUGHT,BUY,-1.12,1437.0,2.03,2026-05-17T10:33:44.680809
ASAN,"Asana, Inc.",USA,United States,Technology,6.2,USD,19.0,67.4,1476.1,6556.7,-35.89,-45.43,Bearish,Strong BUY,-0.8,790.8,1.18,2026-05-17T10:33:44.729716
SIDU,"Sidus Space, Inc.",USA,United States,Industrials,4.01,USD,5.99,33.1,324.3,17491.0,-5.58,-3.01,Bearish,Turning Up,-1.19,3.4,3.36,2026-05-17T10:33:44.793651
ACI,"Albertsons Companies, Inc.",USA,United States,Consumer Defensive,16.4,USD,22.78,28.0,8110.4,6381.4,-46.93,-43.7,OVERSOLD,Turning Up,0.4,83172.5,0.2,2026-05-17T10:33:44.975344
ASND,Ascendis Pharma A/S,USA,Denmark,Healthcare,240.5,USD,250.74,4.1,14858.0,680.6,16.41,12.96,Bullish,BUY,8.86,720.1,0.76,2026-05-17T10:33:45.400611
CHRD,Chord Energy Corporation,USA,United States,Energy,148.39,USD,150.5,1.4,8354.2,1064.9,58.74,56.8,OVERBOUGHT,BUY,-1.02,4877.1,0.98,2026-05-17T10:33:45.614332
MNR,Mach Natural Resources LP,USA,United States,Energy,14.45,USD,15.6,7.4,2430.8,715.7,26.64,20.99,Bullish,BUY,0.74,1175.4,0.93,2026-05-17T10:33:45.830414
KYN,Kayne Anderson MLP/Midstream In,USA,United States,Financial Services,14.39,USD,14.69,2.0,2433.7,417.6,21.04,13.88,Bullish,BUY,-0.28,-66.0,,2026-05-17T10:33:45.993192
SJM,The J.M. Smucker Company,USA,United States,Consumer Defensive,100.54,USD,119.39,15.8,10722.4,2227.1,-32.14,-42.63,Bearish,Strong BUY,-11.79,8726.1,0.35,2026-05-17T10:33:46.077447
TRGP,"Targa Resources, Inc.",USA,United States,Energy,271.99,USD,273.11,0.4,58381.0,1463.4,56.01,53.31,OVERBOUGHT,BUY,9.79,17028.3,0.55,2026-05-17T10:33:46.270677
ESTC,Elastic N.V.,USA,Netherlands,Technology,50.6,USD,96.07,47.3,5237.2,2154.3,-24.41,-40.16,Bearish,Strong BUY,-0.79,1483.3,1.92,2026-05-17T10:33:46.275318
TALO,"Talos Energy, Inc.",USA,United States,Energy,16.39,USD,17.0,3.6,2735.9,2400.3,38.74,36.2,Bullish,BUY,-4.29,1780.1,1.3,2026-05-17T10:33:46.505944
WBI,WaterBridge Infrastructure LLC,USA,United States,Energy,30.72,USD,30.87,0.5,1444.3,906.9,53.93,47.92,OVERBOUGHT,BUY,0.07,525.6,1.38,2026-05-17T10:33:46.566922
RDY,Dr. Reddy's Laboratories Ltd,USA,India,Healthcare,13.61,USD,16.17,15.8,11362.9,2543.7,-16.33,-21.91,Bearish,BUY,0.53,325535.0,1.37,2026-05-17T10:33:46.621068
ARX,Accelerant Holdings,USA,Cayman Islands,Financial Services,15.44,USD,31.18,50.5,3369.0,1249.4,34.33,30.66,Bullish,BUY,-6.49,879.5,,2026-05-17T10:33:46.733399
BAK,Braskem SA,USA,Brazil,Basic Materials,4.9,USD,5.39,9.2,1952.6,2834.2,-26.71,-40.2,Bearish,Strong BUY,-4.56,70717.0,0.5,2026-05-17T10:33:46.811566
VIST,Vista Energy S.A.B. de C.V.,USA,Mexico,Energy,72.29,USD,79.2,8.7,7606.3,1701.2,17.36,21.45,Bullish,Turning Up,6.86,2474.2,0.86,2026-05-17T10:33:46.915062
EXK,Endeavour Silver Corporation,USA,Canada,Basic Materials,9.81,USD,15.15,35.2,2904.4,9896.5,-37.67,-42.66,Bearish,Strong BUY,-0.06,467.5,1.3,2026-05-17T10:33:47.144420
METC,"Ramaco Resources, Inc.",USA,United States,Basic Materials,14.51,USD,57.8,74.9,945.7,1810.8,-38.37,-48.76,Bearish,Strong BUY,-1.1,536.6,4.66,2026-05-17T10:33:47.394671
CALM,"Cal-Maine Foods, Inc.",USA,United States,Consumer Defensive,76.88,USD,126.4,39.2,3642.3,879.4,-58.16,-58.18,OVERSOLD,Strong BUY,14.37,4261.9,5.42,2026-05-17T10:33:47.614687
GPRK,Geopark Ltd,USA,Colombia,Energy,9.58,USD,10.34,7.4,619.7,1001.1,17.14,14.78,Bullish,BUY,1.06,492.5,1.51,2026-05-17T10:33:47.996558
EVGO,EVgo Inc.,USA,United States,Consumer Cyclical,1.9,USD,5.18,63.3,595.8,4336.0,-38.22,-42.49,Bearish,Strong BUY,-0.34,384.1,2.19,2026-05-17T10:33:48.166820
ABT,Abbott Laboratories,USA,United States,Healthcare,84.47,USD,139.06,39.3,147131.0,12020.1,-91.22,-90.08,OVERSOLD,Turning Up,3.57,44328.0,1.18,2026-05-17T10:33:48.264066
BSM,"Black Stone Minerals, L.P.",USA,United States,Energy,14.01,USD,15.49,9.6,2977.1,455.6,-29.85,-29.38,Bearish,Strong BUY,1.27,422.3,3.88,2026-05-17T10:33:48.305083
RLI,RLI Corp.,USA,United States,Financial Services,50.82,USD,77.24,34.2,4672.3,788.4,-74.09,-70.44,OVERSOLD,Turning Up,4.29,1882.4,,2026-05-17T10:33:48.342755
DVN,Devon Energy Corporation,USA,United States,Energy,49.49,USD,52.71,6.1,57061.5,15377.8,18.99,22.42,Bullish,Turning Up,3.59,17188.0,0.9,2026-05-17T10:33:48.391788
FICO,Fair Isaac Corporation,USA,United States,Technology,1098.59,USD,2217.6,50.5,25477.3,370.1,-38.24,-46.62,Bearish,Strong BUY,31.53,1990.9,0.83,2026-05-17T10:33:48.526211
ALXO,ALX Oncology Holdings Inc.,USA,United States,Healthcare,2.03,USD,2.66,23.7,273.2,906.5,-21.75,-31.09,Bearish,Strong BUY,-1.49,0.0,2.07,2026-05-17T10:33:48.577344
KNTK,Kinetik Holdings Inc.,USA,United States,Energy,51.27,USD,51.51,0.5,3773.6,1347.5,56.01,53.92,OVERBOUGHT,BUY,2.51,1764.4,0.69,2026-05-17T10:33:48.656556
VIRT,"Virtu Financial, Inc.",USA,United States,Financial Services,54.49,USD,55.33,1.5,4742.0,1241.2,73.18,69.38,OVERBOUGHT,BUY,6.04,3632.1,1.69,2026-05-17T10:33:49.126708
UMAC,"Unusual Machines, Inc.",USA,United States,Technology,16.2,USD,23.38,30.7,774.3,4449.7,-39.19,-42.26,Bearish,Strong BUY,-0.32,11.2,59.27,2026-05-17T10:33:49.301848
VLO,Valero Energy Corporation,USA,United States,Energy,250.74,USD,258.43,3.0,74452.9,3650.6,46.26,45.78,OVERBOUGHT,BUY,13.69,122687.0,1.11,2026-05-17T10:33:49.523295
MGNX,"MacroGenics, Inc.",USA,United States,Healthcare,4.25,USD,4.35,2.3,270.1,1254.1,49.05,47.02,OVERBOUGHT,BUY,-1.11,149.5,4.92,2026-05-17T10:33:49.664013
CLX,Clorox Company (The),USA,United States,Consumer Defensive,90.45,USD,136.69,33.8,10937.3,2644.4,-73.73,-74.48,OVERSOLD,Strong BUY,6.15,7104.0,0.57,2026-05-17T10:33:50.089598
CAH,"Cardinal Health, Inc.",USA,United States,Healthcare,195.2,USD,233.6,16.4,45717.0,1906.3,-61.8,-58.89,OVERSOLD,Turning Up,6.56,222578.0,0.5,2026-05-17T10:33:50.246020
SCCO,Southern Copper Corporation,USA,United States,Basic Materials,176.78,USD,221.67,20.3,147492.1,1654.4,-10.75,-13.85,Bearish,BUY,5.9,13420.0,3.4,2026-05-17T10:33:50.305562
TTE,TotalEnergies SE,USA,France,Energy,92.28,USD,93.67,1.5,205278.0,2003.4,68.39,69.9,OVERBOUGHT,Turning Up,6.74,182344.0,0.79,2026-05-17T10:33:50.375356
ABBV,AbbVie Inc.,USA,United States,Healthcare,210.39,USD,244.81,14.1,371715.5,6771.0,-39.89,-47.55,Bearish,Strong BUY,2.04,61160.0,0.56,2026-05-17T10:33:50.580531
TPB,"Turning Point Brands, Inc.",USA,United States,Consumer Defensive,89.56,USD,146.9,39.0,1734.6,502.0,-34.77,-47.11,Bearish,Strong BUY,2.92,463.1,4.12,2026-05-17T10:33:50.891825
COMP,"Compass, Inc.",USA,United States,Real Estate,7.88,USD,13.95,43.5,5887.6,15318.4,-28.29,-41.08,Bearish,Strong BUY,0.02,6961.6,0.86,2026-05-17T10:33:51.112083
NVAX,"Novavax, Inc.",USA,United States,Healthcare,9.06,USD,11.97,24.3,1489.8,4650.5,-30.51,-39.85,Bearish,Strong BUY,-0.56,1123.5,2.1,2026-05-17T10:33:51.423147
SONY,Sony Group Corporation,USA,Japan,Technology,22.31,USD,30.34,26.5,131808.8,6125.5,-32.72,-44.16,Bearish,Strong BUY,1.09,12957064.0,0.57,2026-05-17T10:33:51.549949
VERA,"Vera Therapeutics, Inc.",USA,United States,Healthcare,37.32,USD,56.05,33.4,2678.9,1183.0,-58.21,-53.74,OVERSOLD,Turning Up,-5.54,0.0,13.64,2026-05-17T10:33:51.730818
SUN,Sunoco LP,USA,United States,Energy,71.16,USD,71.67,0.7,13407.4,539.2,59.99,57.4,OVERBOUGHT,BUY,3.92,25201.0,0.78,2026-05-17T10:33:51.789832
WLDN,"Willdan Group, Inc.",USA,United States,Industrials,92.12,USD,137.0,32.8,1392.0,394.0,-22.56,-44.42,Bearish,Strong BUY,3.72,681.6,1.56,2026-05-17T10:33:51.842643
CNQ,Canadian Natural Resources Limi,USA,Canada,Energy,47.98,USD,51.34,6.5,100072.4,11350.4,6.11,12.28,Bullish,Turning Up,4.07,44167.0,0.63,2026-05-17T10:33:51.928840
HSIC,"Henry Schein, Inc.",USA,United States,Healthcare,72.72,USD,89.29,18.6,8284.0,1462.8,-53.11,-52.77,OVERSOLD,Turning Up,3.31,13184.0,0.76,2026-05-17T10:33:52.120147
SHMD,SCHMID Group N.V.,USA,Germany,Industrials,6.87,USD,10.65,35.5,397.1,881.7,-29.37,-38.41,Bearish,Strong BUY,-1.07,60.8,0.45,2026-05-17T10:33:52.159618
VG,"Venture Global, Inc.",USA,United States,Energy,14.23,USD,19.5,27.0,35352.4,26828.5,-21.54,-13.96,Bearish,Turning Up,0.96,13769.0,0.87,2026-05-17T10:33:52.376359
PAA,"Plains All American Pipeline, L",USA,United States,Energy,22.9,USD,23.04,0.6,16156.7,3395.3,42.32,39.78,OVERBOUGHT,BUY,1.11,44262.0,0.92,2026-05-17T10:33:52.597798
BBOT,BridgeBio Oncology Therapeutics,USA,United States,Healthcare,8.51,USD,14.87,42.8,681.7,326.4,-69.32,-71.46,OVERSOLD,Strong BUY,-1.92,0.0,12.34,2026-05-17T10:33:52.995985
FRMI,Fermi Inc.,USA,United States,Real Estate,6.51,USD,36.99,82.4,4150.6,14178.2,-62.67,-68.29,OVERSOLD,Strong BUY,-1.13,0.0,2.31,2026-05-17T10:33:53.120540
AG,First Majestic Silver Corp.,USA,Canada,Basic Materials,20.42,USD,32.04,36.3,10082.8,18542.2,-53.86,-53.97,OVERSOLD,Strong BUY,0.59,1265.2,2.41,2026-05-17T10:33:53.228740
RAPP,"Rapport Therapeutics, Inc.",USA,United States,Healthcare,37.07,USD,42.27,12.3,1772.9,346.5,46.05,45.91,OVERBOUGHT,BUY,-2.6,0.0,26.17,2026-05-17T10:33:53.269013
WDAY,"Workday, Inc.",USA,United States,Technology,125.01,USD,274.65,54.5,31213.2,5405.0,-39.6,-46.78,Bearish,Strong BUY,2.59,9552.0,1.32,2026-05-17T10:33:53.865990
SLS,"SELLAS Life Sciences Group, Inc",USA,United States,Healthcare,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,-0.23,0.0,10.72,2026-05-17T10:33:53.909698
SENS,"Senseonics Holdings, Inc.",USA,United States,Healthcare,5.77,USD,12.58,54.1,301.2,702.3,-51.08,-44.5,OVERSOLD,Turning Up,-1.97,35.3,4.55,2026-05-17T10:33:53.971377
TM,Toyota Motor Corporation,USA,Japan,Consumer Cyclical,190.68,USD,248.9,23.4,248520.5,364.8,-80.15,-79.38,OVERSOLD,Turning Up,18.71,48036704.0,1.1,2026-05-17T10:33:54.026501
KOS,Kosmos Energy Ltd.,USA,United States,Energy,3.23,USD,3.32,2.7,1916.0,26008.2,59.85,58.38,OVERBOUGHT,BUY,-1.69,1288.4,0.45,2026-05-17T10:33:54.096658
CDRE,"Cadre Holdings, Inc.",USA,United States,Industrials,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,0.84,610.3,2.54,2026-05-17T10:33:54.194079
BEP,Brookfield Renewable Partners L,USA,Canada,Utilities,34.37,USD,35.97,4.4,10423.6,850.9,46.47,49.62,OVERBOUGHT,Turning Up,-0.3,6407.0,0.56,2026-05-17T10:33:54.594732
USAS,Americas Gold and Silver Corpor,USA,Canada,Basic Materials,6.25,USD,10.5,40.5,2036.8,6350.8,-37.82,-42.6,Bearish,Strong BUY,-0.33,117.9,1.66,2026-05-17T10:33:54.735728
ASTS,"AST SpaceMobile, Inc.",USA,United States,Technology,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,-1.8,70.9,16.27,2026-05-17T10:33:55.043824
ROIV,Roivant Sciences Ltd.,USA,United Kingdom,Healthcare,29.29,USD,30.33,3.4,20962.9,5409.2,25.9,27.37,Bullish,Turning Up,-1.17,29.1,33.23,2026-05-17T10:33:55.136965
VNOM,"Viper Energy, Inc.",USA,United States,Energy,48.98,USD,51.13,4.2,9512.7,2989.6,42.97,43.38,OVERBOUGHT,Turning Up,-0.57,1394.0,3.72,2026-05-17T10:33:55.178960
NFGC,New Found Gold Corp,USA,Canada,Basic Materials,2.02,USD,3.59,43.7,775.8,1930.5,-35.7,-41.77,Bearish,Strong BUY,-0.18,5.8,3.48,2026-05-17T10:33:55.277050
CCCC,"C4 Therapeutics, Inc.",USA,United States,Healthcare,3.56,USD,3.95,9.9,393.6,3054.2,9.07,3.47,Bullish,BUY,-1.1,35.9,7.81,2026-05-17T10:33:55.331007
OKE,"ONEOK, Inc.",USA,United States,Energy,92.32,USD,95.3,3.1,58164.6,4938.3,15.32,13.72,Bullish,BUY,5.61,33629.0,0.56,2026-05-17T10:33:55.409665
HLIO,"Helios Technologies, Inc.",USA,United States,Industrials,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,1.82,839.0,1.58,2026-05-17T10:33:55.608242
KYTX,"Kyverna Therapeutics, Inc.",USA,United States,Healthcare,9.49,USD,13.67,30.6,576.9,873.6,-4.57,-3.29,Bearish,Turning Up,-3.27,0.0,7.75,2026-05-17T10:33:55.800763
NJR,NewJersey Resources Corporation,USA,United States,Utilities,57.33,USD,57.91,1.0,5785.8,540.8,50.6,52.6,OVERBOUGHT,Turning Up,3.37,2036.4,0.4,2026-05-17T10:33:55.905815
RPRX,Royalty Pharma plc,USA,United States,Healthcare,52.85,USD,53.47,1.2,23427.0,3323.8,78.69,77.36,OVERBOUGHT,BUY,1.9,2378.2,2.4,2026-05-17T10:33:56.051711
RUN,Sunrun Inc.,USA,United States,Technology,13.99,USD,22.44,37.7,3337.3,10006.2,-26.26,-39.37,Bearish,Strong BUY,2.13,2957.0,1.27,2026-05-17T10:33:56.200297
TRT,Trio-Tech International,USA,United States,Technology,20.05,USD,21.38,6.2,202.8,984.8,46.49,42.26,OVERBOUGHT,BUY,0.04,36.5,4.67,2026-05-17T10:33:56.225292
ENPH,"Enphase Energy, Inc.",USA,United States,Technology,52.89,USD,53.89,1.9,6970.8,6403.6,-10.91,-35.61,Bearish,Strong BUY,1.01,1473.0,1.84,2026-05-17T10:33:56.402019
BVN,Buenaventura Mining Company Inc,USA,Peru,Basic Materials,34.29,USD,44.67,23.2,8709.2,1595.9,-24.17,-27.94,Bearish,BUY,3.3,1731.6,1.88,2026-05-17T10:33:56.449256
DLTR,"Dollar Tree, Inc.",USA,United States,Consumer Defensive,89.58,USD,142.4,37.1,17443.5,3353.6,-83.24,-81.85,OVERSOLD,Turning Up,5.94,19411.8,0.29,2026-05-17T10:33:57.004694
POET,POET Technologies Inc.,USA,Canada,Technology,15.97,USD,20.81,23.3,2438.8,30011.7,20.03,15.31,Bullish,BUY,-0.68,1.1,2.19,2026-05-17T10:33:57.147028
CELH,"Celsius Holdings, Inc.",USA,United States,Consumer Defensive,30.16,USD,66.74,54.8,7710.1,7766.2,-85.31,-85.63,OVERSOLD,Strong BUY,0.43,2515.3,1.37,2026-05-17T10:33:57.676773
NOV,NOV Inc.,USA,United States,Energy,20.37,USD,20.93,2.7,7310.6,4948.4,29.87,25.77,Bullish,BUY,0.25,8744.0,1.67,2026-05-17T10:33:57.894274
SCHW,Charles Schwab Corporation (The,USA,United States,Financial Services,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,5.03,23921.0,,2026-05-17T10:33:57.948957
PWR,"Quanta Services, Inc.",USA,United States,Industrials,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,7.31,28479.7,1.09,2026-05-17T10:33:58.008810
IBRX,"ImmunityBio, Inc.",USA,United States,Healthcare,7.97,USD,12.43,35.9,8347.4,24682.0,-38.38,-39.98,Bearish,Strong BUY,-0.85,113.3,5.08,2026-05-17T10:33:58.160278
IVA,Inventiva S.A. - American Depos,USA,France,Healthcare,5.44,USD,7.98,31.9,1129.6,345.7,-59.49,-60.9,OVERSOLD,Strong BUY,-2.23,4.5,3.16,2026-05-17T10:33:58.254056
IMO,Imperial Oil Limited,USA,Canada,Energy,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,4.31,45203.0,0.83,2026-05-17T10:33:58.581469
CRBU,"Caribou Biosciences, Inc.",USA,United States,Healthcare,2.14,USD,3.54,39.5,212.2,1410.5,9.19,14.08,Bullish,Turning Up,-1.42,11.2,5.71,2026-05-17T10:33:58.845240
RIG,Transocean Ltd (Switzerland),USA,Switzerland,Energy,7.04,USD,7.14,1.4,7859.7,37653.7,27.15,24.18,Bullish,BUY,-2.89,3965.0,,2026-05-17T10:33:58.970440
PSX,Phillips 66,USA,United States,Energy,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,10.11,132376.0,,2026-05-17T10:33:58.978977
CL,Colgate-Palmolive Company,USA,United States,Consumer Defensive,88.13,USD,99.33,11.3,70520.7,5996.4,-32.21,-40.86,Bearish,Strong BUY,2.58,20382.0,,2026-05-17T10:33:58.981830
OLLI,Ollie's Bargain Outlet Holdings,USA,United States,Consumer Defensive,78.49,USD,141.74,44.6,4761.3,1416.2,-79.42,-77.71,OVERSOLD,Turning Up,3.89,2649.2,,2026-05-17T10:33:59.001798
MBI,MBI,USA,--,--,5.86,USD,8.26,29.1,298.5,346.4,-53.65,-52.48,OVERSOLD,Turning Up,,,,2026-05-17T10:33:59.129887
SEPN,SEPN,USA,--,--,26.95,USD,32.63,17.4,1214.8,326.7,-50.72,-57.68,OVERSOLD,Strong BUY,,,,2026-05-17T10:33:59.141804
MAMA,"Mama's Creations, Inc.",USA,United States,Consumer Defensive,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,0.13,171.7,1.71,2026-05-17T10:33:59.222712
WDP.BR,WDP.BR,EU,--,--,21.74,EUR,26.18,17.0,5111.9,427.6,-14.19,-13.02,Bearish,Turning Up,,,,2026-05-17T10:33:59.873295
